Comment,Designator,Footprint,LCSC Part #
"0.1uF","C3,C4,C8,C13,C17,C20,C21,C25,C28","0603",
"100pF","C9","0603",
"10uF/16V","C2,C18,C19,C23","0603",
"10uF/16V","C6,C7","0805",
"10uF/16V","C22","1206",
"1nF","C1","0603",
"1uF/16V","C5,C29","0603",
"22uF/16V","C10,C11,C14,C15","0805",
"4.7nF","C24,C26","0603",
"4.7uF/16V","C27","0603",
"B5819WS","D1","SOD-323",
"FSMD075-1812","F1","1812",
"120R","FB1","0805",
"AP63200WU-7","IC1","TSOT-26",
"ESP-01","J2","Header-2x4-P2.54",
"Micro_SD_Card","J4","uSD-Socket",
"USB_C_Receptacle_USB2.0_16P","J5","USB-C-16P",
"SPH5030-100M","L1","SPH5030-5x3mm",
"DMMT5401","Q1","SOT-23-6",
"SSM3J332R","Q2","SOT-23",
"0R","R50","0603",
"10R","R52","0805",
"10k","R41,R42,R45,R46,R47,R48,R49,R51,R59","0603",
"196k 1%","R6","0603",
"1k","R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R53,R54","0603",
"2.2k","R57,R58","0603",
"330R","R3,R5,R35,R36,R37,R38","0603",
"4.7k","R4,R8,R9,R10,R39","0603",
"470R","R27,R28,R29,R30,R31,R32,R33,R34","0603",
"47k","R1,R2","0603",
"5.1k","R55,R56","0603",
"62k 1%","R7","0603",
"NW3-A06-B6","S1","SMD-4P-Side",
"SM6T6V8CA","TVS1","DO-214AA",
"Core2350B","U1","Module-Core2350B",
"UDA1334MOD","U2","Module-UDA1334A",
